state,Drunk Driving,Over Loading,Defect in Road Condition,Others,Total,
Andhra Pradesh,5.486745629,10.44782854,2.073322053,81.99210378,44325,Andhra Pradesh
Arunachal Pradesh,3.75,13.33333333,9.583333333,73.33333333,240,Arunachal Pradesh
Assam,7.245060186,25.02838973,0,67.72655008,4403,Assam
Bihar,25.07074865,30.8721379,2.431180859,41.6259326,7774,Bihar
Chhattisgarh,3.261223162,25.74007807,1.97625244,69.02244632,12296,Chhattisgarh
Goa,0.024875622,2.36318408,1.144278607,96.46766169,4020,Goa
Gujarat,0.975522708,10.45117925,0.246854832,88.32644321,33623,Gujarat
Haryana,4.334055676,31.57192865,1.300216703,62.79379897,11998,Haryana
Himachal Pradesh,7.241962775,38.5786802,1.624365482,52.55499154,2955,Himachal Pradesh
Jammu & Kashmir,0.358117326,46.41882674,0.477489768,52.74556617,5864,Jammu & Kashmir
Jharkhand,18.67549669,18.92147588,2.554399243,59.84862819,5285,Jharkhand
Karnataka,0.437849147,28.42568427,0.765696784,70.37076979,46363,Karnataka
Kerala,0.172858682,2.615427011,0.067640354,97.14407395,39917,Kerala
Madhya Pradesh,16.63847931,20.80941378,1.684095186,60.86801172,41981,Madhya Pradesh
Maharashtra,5.113968043,19.17161049,1.244892141,74.46952933,73661,Maharashtra
Manipur,7.249070632,51.30111524,2.788104089,38.66171004,538,Manipur
Meghalaya,3,0,0.333333333,96.66666667,300,Meghalaya
Mizoram,60.25641026,38.46153846,1.282051282,0,78,Mizoram
Nagaland,0,0.418410042,0,99.58158996,239,Nagaland
Orissa,8.937051017,34.29928163,6.757579447,50.00608791,8213,Odisha
Punjab,17.45391705,18.70199693,0.595238095,63.24884793,5208,Punjab
Rajasthan,7.699392924,15.62486916,0.481473728,76.19426418,23885,Rajasthan
Sikkim,27.33333333,24.66666667,0,48,150,Sikkim
Tamil Nadu,0.585052418,31.29015894,0.439634765,67.68515387,59140,Tamil Nadu
Telangana,,,,,,Telangana
Tripura,0,40.32459426,0,59.67540574,801,Tripura
Uttarakhand,1.504251145,27.14192283,0.850228908,70.50359712,1529,Uttarakhand
Uttar Pradesh,13.24226373,27.32088096,3.02481182,56.41204349,21522,Uttar Pradesh
West Bengal,8.32761578,33.63636364,3.704974271,54.33104631,11660,West Bengal
Chandigarh,0.936329588,0,0,99.06367041,534,Chandigarh
Delhi,0,0,0,100,8620,Delhi
Puducherry,0.05733945,1.548165138,0,98.39449541,1744,Puducherry
,5.435116033,20.38158079,1.241608708,72.94169447,479217,India
